epoch,accuracy,loss,val_accuracy,val_loss
0,0.6946502327919006,1.3595668077468872,0.5827160477638245,1.8756645917892456
1,0.7925925850868225,0.5950958728790283,0.5827160477638245,1.6714712381362915
2,0.8304526805877686,0.502754271030426,0.5827160477638245,1.6597923040390015
3,0.8740741014480591,0.3408355116844177,0.5827160477638245,1.5042338371276855
4,0.8946502208709717,0.31311526894569397,0.5975308418273926,1.3553396463394165
5,0.9020575881004333,0.28498712182044983,0.6469135880470276,1.161329746246338
6,0.9218106865882874,0.22258403897285461,0.6987654566764832,0.904700756072998
7,0.9259259104728699,0.21599546074867249,0.7654321193695068,0.611571192741394
8,0.9399176836013794,0.171072319149971,0.9012345671653748,0.36055049300193787
9,0.9506173133850098,0.15356098115444183,0.9913580417633057,0.17175258696079254
10,0.9399176836013794,0.15945295989513397,1.0,0.07514095306396484
11,0.962139904499054,0.1145273819565773,1.0,0.033900342881679535
12,0.9646090269088745,0.09079555422067642,1.0,0.01934676617383957
13,0.9711934328079224,0.10176224261522293,1.0,0.010337620042264462
14,0.9637860059738159,0.0949702188372612,1.0,0.00429207319393754
15,0.968724250793457,0.08193900436162949,1.0,0.0022662936244159937
16,0.9794238805770874,0.07386399805545807,1.0,0.0009965304052457213
17,0.980246901512146,0.05871560797095299,1.0,0.0008466053404845297
18,0.978600800037384,0.06689012795686722,1.0,0.001005619764328003
19,0.9876543283462524,0.049684371799230576,1.0,0.0014372646110132337
20,0.9868312478065491,0.04573490098118782,1.0,0.00016581008094362915
21,0.9851852059364319,0.03853420913219452,1.0,9.954447887139395e-05
22,0.9876543283462524,0.03869413584470749,1.0,0.0007136654458008707
23,0.9860082268714905,0.03829508274793625,1.0,0.00010042914800578728
24,0.9827160239219666,0.04356524720788002,1.0,4.1455950849922374e-05
25,0.9876543283462524,0.030009765177965164,1.0,1.7116622984758578e-05
26,0.9868312478065491,0.042644672095775604,1.0,5.340035932022147e-05
27,0.9909465312957764,0.030879419296979904,1.0,7.469564297934994e-05
28,0.990123450756073,0.03568888083100319,1.0,0.0002355543547309935
29,0.9942386746406555,0.021567724645137787,1.0,7.2540979090263136e-06
30,0.9909465312957764,0.024018310010433197,1.0,8.25152346806135e-06
31,0.9893004298210144,0.03517543151974678,1.0,9.708757715998217e-06
32,0.9909465312957764,0.029132500290870667,1.0,1.0365009984525386e-05
33,0.988477349281311,0.026120811700820923,1.0,1.6108548152260482e-05
34,0.9934156537055969,0.01942533068358898,1.0,0.00021529209334403276
35,0.9934156537055969,0.023858608677983284,1.0,2.5671963612694526e-06
36,0.9967077970504761,0.014662562869489193,1.0,2.338754939046339e-06
37,0.9950617551803589,0.020406723022460938,1.0,1.2678269740717951e-05
38,0.9942386746406555,0.019462620839476585,1.0,4.583020654536085e-06
39,0.991769552230835,0.024325162172317505,1.0,2.555637365730945e-06
40,0.9958847761154175,0.014533847570419312,1.0,2.7197718281968264e-06
41,0.9958847761154175,0.012108785100281239,1.0,1.0646300552252796e-06
42,0.991769552230835,0.020952841266989708,1.0,1.5248222098307451e-06
43,0.990123450756073,0.02540060505270958,1.0,3.4167958347097738e-06
44,0.9958847761154175,0.01232395600527525,1.0,1.6020846942410572e-06
45,0.9942386746406555,0.02197282947599888,1.0,9.5277914624603e-07
46,0.9958847761154175,0.016768241301178932,1.0,1.7963095615414204e-06
47,0.9950617551803589,0.01722574047744274,1.0,1.081167283700779e-05
48,0.9950617551803589,0.012889646925032139,1.0,2.4675475742697017e-06
49,0.9934156537055969,0.022328605875372887,1.0,1.354920823359862e-05
50,0.9967077970504761,0.009526770561933517,1.0,4.471404736250406e-06
51,0.991769552230835,0.019088292494416237,1.0,1.1875104064529296e-05
52,0.9958847761154175,0.012126956135034561,1.0,2.2627011730946833e-06
53,0.998353898525238,0.008571161888539791,1.0,1.7062772030840279e-06
54,0.9958847761154175,0.012627841904759407,1.0,2.1434327209135517e-05
55,0.9967077970504761,0.008898063562810421,1.0,1.5390708085760707e-06
